sn,ymd,ym,code,si,dong,apt_nm,juso_jibun,price,con_year,area,floor,py,cnt
3154,2022-01-12,2022-01-01,42130,원주시,개운동 ,개운현대,강원도 원주시 개운동 322 개운현대,15500,1998,85,6,602,1
3155,2022-01-13,2022-01-01,42130,원주시,개운동 ,덕산,강원도 원주시 개운동 118-26 덕산,12900,1992,76,12,560,1
3156,2022-01-17,2022-01-01,42130,원주시,개운동 ,개운한신휴플러스1차,강원도 원주시 개운동 441 개운한신휴플러스1차,26900,2006,85,15,1044,1
3157,2022-01-21,2022-01-01,42130,원주시,개운동 ,개운한신휴플러스1차,강원도 원주시 개운동 441 개운한신휴플러스1차,28000,2006,85,9,1087,1
3158,2022-01-29,2022-01-01,42130,원주시,개운동 ,개운한신휴플러스1차,강원도 원주시 개운동 441 개운한신휴플러스1차,27000,2006,85,11,1048,1
3159,2022-01-29,2022-01-01,42130,원주시,개운동 ,원주개운휴먼시아1단지,강원도 원주시 개운동 581-1 원주개운휴먼시아1단지,33000,2010,117,2,931,1
3542,2022-02-01,2022-02-01,42130,원주시,개운동 ,개운한신휴플러스1차,강원도 원주시 개운동 441 개운한신휴플러스1차,21000,2006,60,18,1155,1
3543,2022-02-03,2022-02-01,42130,원주시,개운동 ,서초,강원도 원주시 개운동 546-3 서초,5800,1999,47,3,407,1
3544,2022-02-03,2022-02-01,42130,원주시,개운동 ,서초,강원도 원주시 개운동 546-3 서초,5800,1999,47,3,407,1
3545,2022-02-03,2022-02-01,42130,원주시,개운동 ,서초,강원도 원주시 개운동 546-3 서초,5400,1999,39,1,457,1
3546,2022-02-04,2022-02-01,42130,원주시,개운동 ,개운동원흥3차아파트,강원도 원주시 개운동 328-1 개운동원흥3차아파트,12100,1993,84,1,475,1
3547,2022-02-04,2022-02-01,42130,원주시,개운동 ,원주개운휴먼시아1단지,강원도 원주시 개운동 581-1 원주개운휴먼시아1단지,31000,2010,85,2,1204,1
3548,2022-02-06,2022-02-01,42130,원주시,개운동 ,세경,강원도 원주시 개운동 203-70 세경,6500,1988,47,1,456,1
3549,2022-02-09,2022-02-01,42130,원주시,개운동 ,개운한신휴플러스1차,강원도 원주시 개운동 441 개운한신휴플러스1차,28000,2006,85,11,1087,1
3550,2022-02-10,2022-02-01,42130,원주시,개운동 ,원주개운휴먼시아1단지,강원도 원주시 개운동 581-1 원주개운휴먼시아1단지,28500,2010,117,6,804,1
3551,2022-02-12,2022-02-01,42130,원주시,개운동 ,원주개운휴먼시아1단지,강원도 원주시 개운동 581-1 원주개운휴먼시아1단지,15500,2010,47,1,1088,1
3552,2022-02-12,2022-02-01,42130,원주시,개운동 ,세경,강원도 원주시 개운동 203-70 세경,7900,1988,47,4,555,1
3553,2022-02-15,2022-02-01,42130,원주시,개운동 ,개운현대,강원도 원주시 개운동 322 개운현대,5700,1998,35,5,537,1
3554,2022-02-16,2022-02-01,42130,원주시,개운동 ,개운한신휴플러스1차,강원도 원주시 개운동 441 개운한신휴플러스1차,26900,2006,85,11,1044,1
3555,2022-02-16,2022-02-01,42130,원주시,개운동 ,개운동원흥3차아파트,강원도 원주시 개운동 328-1 개운동원흥3차아파트,12200,1993,84,4,479,1
3556,2022-02-17,2022-02-01,42130,원주시,개운동 ,개운현대,강원도 원주시 개운동 322 개운현대,15700,1998,85,9,610,1
3557,2022-02-20,2022-02-01,42130,원주시,개운동 ,개운한신휴플러스1차,강원도 원주시 개운동 441 개운한신휴플러스1차,27800,2006,85,20,1079,1
3558,2022-02-23,2022-02-01,42130,원주시,개운동 ,개운현대,강원도 원주시 개운동 322 개운현대,6500,1998,35,3,613,1
3559,2022-02-24,2022-02-01,42130,원주시,개운동 ,개운현대,강원도 원주시 개운동 322 개운현대,6200,1998,35,5,585,1
