"","ymd","ym","year","code","addr_1","apt_nm","juso_jibun","price","con_year","area","floor","py","cnt"
"1",2022-02-21,2022-02-01,"2022","42130","강원_원주","청솔4차","강원도 원주시 단구동 1684-1 청솔4차",10800,2001,59,3,604,1
"2",2022-02-23,2022-02-01,"2022","42130","강원_원주","성일","강원도 원주시 단구동 1589-4 성일",13000,1998,60,5,715,1
"3",2022-02-21,2022-02-01,"2022","42130","강원_원주","청솔3차","강원도 원주시 단구동 1679 청솔3차",10600,2000,59,1,593,1
"4",2022-02-21,2022-02-01,"2022","42130","강원_원주","성일","강원도 원주시 단구동 1589-4 성일",12800,1998,60,2,704,1
"5",2022-02-22,2022-02-01,"2022","42130","강원_원주","한일","강원도 원주시 단구동 1517-2 한일",17500,1997,60,9,962,1
"6",2022-02-22,2022-02-01,"2022","42130","강원_원주","원주단구내안애카운티에듀파크2단지","강원도 원주시 단구동 1711 원주단구내안애카운티에듀파크2단지",38500,2020,85,6,1495,1
"7",2022-02-22,2022-02-01,"2022","42130","강원_원주","한신휴플러스2차아파트","강원도 원주시 단구동 1461 한신휴플러스2차아파트",20000,2006,60,18,1100,1
"8",2022-02-22,2022-02-01,"2022","42130","강원_원주","청솔2차","강원도 원주시 단구동 1588-4 청솔2차",12500,2000,59,13,699,1
"9",2022-02-22,2022-02-01,"2022","42130","강원_원주","성일","강원도 원주시 단구동 1589-4 성일",11100,1998,56,5,654,1
"10",2022-02-22,2022-02-01,"2022","42130","강원_원주","청솔1차","강원도 원주시 단구동 1589-2 청솔1차",10550,2000,59,2,590,1
"11",2022-02-22,2022-02-01,"2022","42130","강원_원주","선아","강원도 원주시 단구동 186-11 선아",7900,1980,74,3,352,1
"12",2022-02-23,2022-02-01,"2022","42130","강원_원주","현진에버빌5차","강원도 원주시 단구동 1682-1 현진에버빌5차",26122,2006,85,7,1014,1
"13",2022-02-23,2022-02-01,"2022","42130","강원_원주","중앙하이츠아파트","강원도 원주시 단구동 1702 중앙하이츠아파트",24500,2008,85,5,951,1
"14",2022-02-23,2022-02-01,"2022","42130","강원_원주","대림","강원도 원주시 단구동 1517-1 대림",15000,1997,60,5,825,1
"15",2022-02-21,2022-02-01,"2022","42130","강원_원주","중앙하이츠아파트","강원도 원주시 단구동 1702 중앙하이츠아파트",23700,2008,85,14,920,1
"16",2022-02-17,2022-02-01,"2022","42130","강원_원주","봉화산e-편한세상","강원도 원주시 단계동 1095-1 봉화산e-편한세상",31500,2006,85,9,1223,1
"17",2022-02-17,2022-02-01,"2022","42130","강원_원주","봉화산e-편한세상","강원도 원주시 단계동 1095-1 봉화산e-편한세상",29800,2006,85,3,1157,1
"18",2022-02-18,2022-02-01,"2022","42130","강원_원주","코오롱","강원도 원주시 단계동 880 코오롱",15000,1994,60,2,825,1
"19",2022-02-18,2022-02-01,"2022","42130","강원_원주","세경3차","강원도 원주시 단계동 807-1 세경3차",9000,1996,60,14,495,1
